DIRECTORIO,NRO_ENCUESTA,HOGAR_NUMERO,PERSONA_NUMERO,P606,P203,P2057,P2059,P2061,P2063,P2063S3,P2065,P2065S3,P3038,P3039
83352,252,1,1,1,1,2,2,2,1,,1,,2,1
83352,252,1,2,4,2,2,2,2,1,,1,,1,2
83352,252,1,3,2,2,2,2,2,1,,1,,2,1
83353,252,1,1,4,2,2,2,2,1,,1,,1,2
83353,252,1,2,1,1,2,2,2,1,,1,,2,1
83354,252,1,1,4,2,2,2,2,1,,1,,1,2
83354,252,1,2,4,2,2,2,2,1,,1,,1,2
83354,252,1,3,2,2,2,2,2,1,,1,,2,1
83354,252,1,4,2,2,2,2,2,1,,1,,2,1
83355,252,1,1,5,1,2,2,2,1,,1,,1,2
83356,252,1,1,2,99,2,2,2,1,,1,,2,1
83357,252,1,1,1,99,1,,1,1,,1,,2,1
83357,252,1,2,1,99,1,,1,1,,1,,2,1
83358,252,1,1,5,1,1,,1,1,,1,,2,1
83359,252,1,1,1,1,1,,1,1,,1,,2,1
83359,252,1,2,4,2,1,,1,1,,1,,1,2
83359,252,1,3,4,2,2,2,1,1,,1,,1,2
83360,252,1,1,4,1,1,,1,1,,1,,1,2
83360,252,1,2,1,1,1,,1,1,,1,,2,1
83361,252,1,1,1,1,1,,1,1,,1,,2,1
83362,252,1,1,1,99,1,,1,1,,1,,2,1
83362,252,1,2,1,99,1,,1,1,,1,,1,2
83363,252,1,1,1,1,1,,1,1,,1,,2,1
83363,252,1,2,4,2,1,,1,1,,1,,1,2
83364,252,1,1,1,1,1,,1,1,,1,,2,1
83364,252,1,2,4,1,1,,1,1,,1,,1,2
83365,252,1,1,1,1,1,,1,1,,1,,2,1
83365,252,1,2,4,2,1,,1,1,,1,,1,2
83366,252,1,1,1,99,1,,1,1,,1,,2,1
83366,252,1,2,4,99,1,,2,1,,1,,1,2
83367,252,1,1,1,1,1,,1,1,,1,,2,1
83367,252,1,2,4,1,1,,1,1,,1,,1,2
83367,252,1,3,5,2,1,,1,1,,1,,1,2
83368,252,1,1,1,99,1,,1,1,,1,,2,1
83368,252,1,2,4,2,1,,1,1,,1,,1,2
83369,252,1,1,4,1,1,,1,1,,1,,1,2
83370,252,1,1,1,1,1,,1,1,,1,,2,1
83370,252,1,2,4,2,1,,1,1,,1,,1,2
83370,252,1,3,5,2,1,,1,1,,1,,2,1
83370,252,1,4,2,2,1,,1,1,,1,,2,1
83371,252,1,1,1,1,2,1,1,1,,1,,2,1
83371,252,1,2,1,1,1,,1,1,,1,,1,2
83372,252,1,1,5,1,1,,1,1,,1,,2,1
83372,252,1,2,1,1,1,,1,1,,1,,1,2
83373,252,1,1,4,1,1,,1,1,,1,,1,2
83373,252,1,2,5,2,1,,1,1,,1,,2,1
83374,252,1,1,4,2,1,,1,1,,1,,2,1
83374,252,1,2,4,1,1,,1,1,,1,,1,2
83375,252,1,1,1,99,1,,1,1,,1,,2,1
83375,252,1,2,4,2,1,,1,1,,1,,1,2
83376,252,1,1,1,2,1,,1,1,,1,,2,1
83376,252,1,2,4,2,1,,1,1,,1,,1,2
83377,252,1,1,5,1,1,,1,1,,1,,1,2
83377,252,1,2,4,2,1,,1,1,,1,,1,2
83377,252,1,3,1,99,1,,1,1,,1,,1,2
83378,252,1,1,1,99,1,,1,1,,1,,2,1
83378,252,1,2,4,1,1,,1,1,,1,,1,2
83378,252,1,3,1,99,2,1,1,1,,1,,2,1
83379,252,1,1,1,2,1,,1,1,,1,,2,1
83379,252,1,2,4,1,1,,1,1,,1,,1,2
83380,252,1,1,1,1,1,,1,1,,1,,1,2
83380,252,1,2,2,2,1,,1,1,,1,,2,1
83381,252,1,1,4,1,1,,1,1,,1,,1,2
83381,252,1,2,1,1,1,,1,1,,1,,2,1
83382,252,1,1,4,1,1,,1,1,,1,,1,2
83383,252,1,1,1,1,1,,1,1,,1,,2,1
83383,252,1,2,4,2,1,,1,1,,1,,1,2
83383,252,1,3,1,1,1,,1,1,,1,,2,1
83384,252,1,1,4,1,1,,1,1,,1,,1,2
83385,252,1,1,1,99,1,,1,1,,1,,2,1
83385,252,1,2,4,1,1,,1,1,,1,,1,2
83385,252,1,3,1,99,2,1,1,1,,1,,1,2
83386,252,1,1,1,1,1,,1,1,,1,,2,1
83386,252,1,2,4,2,1,,1,1,,1,,1,2
83386,252,1,3,1,1,1,,1,1,,1,,2,1
83387,252,1,1,1,1,1,,1,1,,1,,1,2
83387,252,1,2,2,2,1,,1,1,,1,,2,1
83388,252,1,1,1,99,1,,1,1,,1,,2,1
83388,252,1,2,1,99,1,,1,1,,1,,1,2
83389,252,1,1,1,99,1,,1,1,,1,,2,1
83389,252,1,2,1,99,1,,1,1,,1,,1,2
83390,252,1,1,4,2,1,,1,1,,1,,1,2
83390,252,1,3,4,2,1,,1,1,,1,,1,2
83391,252,1,1,1,2,1,,1,1,,1,,2,1
83391,252,1,2,4,1,1,,1,1,,1,,1,2
83392,252,1,1,1,1,1,,1,2,,1,,2,1
83393,252,1,1,1,1,1,,1,1,,1,,2,1
83393,252,1,2,1,1,1,,1,1,,1,,1,2
83394,252,1,1,1,2,1,,1,1,,1,,2,1
83394,252,1,2,4,2,1,,1,1,,1,,1,2
83394,252,1,3,1,2,1,,1,1,,1,,2,1
83394,252,1,4,4,1,1,,1,1,,1,,1,2
83395,252,1,1,1,1,1,,1,1,,1,,2,1
83396,252,1,1,1,99,1,,1,1,,1,,2,1
83396,252,1,2,4,1,1,,1,1,,1,,1,2
83396,252,1,3,3,2,1,,1,1,,1,,2,1
83397,252,1,1,1,1,1,,1,1,,1,,2,1
83398,252,1,1,1,2,1,,1,1,,1,,2,1
83398,252,1,2,4,1,1,,1,1,,1,,1,2
83399,252,1,1,1,1,1,,1,1,,1,,2,1
83399,252,1,2,4,2,1,,1,1,,1,,1,2
83400,252,1,1,1,99,1,,1,1,,1,,2,1
83400,252,1,2,4,1,1,,1,1,,1,,1,2
83401,252,1,1,2,1,1,,1,1,,1,,1,2
83402,252,1,1,1,99,2,1,1,1,,1,,1,2
83403,252,1,1,1,99,1,,1,1,,1,,1,2
83403,252,1,2,3,2,1,,1,1,,1,,2,1
83404,252,1,1,1,99,1,,1,1,,1,,1,2
83404,252,1,2,4,2,1,,1,1,,1,,1,2
83405,252,1,1,1,99,1,,1,1,,1,,2,1
83405,252,1,2,4,99,1,,1,1,,1,,1,2
83405,252,1,3,1,2,1,,1,1,,1,,2,1
83405,252,1,4,1,99,1,,1,1,,1,,2,1
83406,252,1,1,1,99,2,1,1,1,,1,,1,2
83406,252,1,2,1,99,2,1,1,1,,1,,2,1
83407,252,1,1,1,1,1,,1,1,,1,,1,2
