DIRECTORIO,REGION,DPTO_CAUCA,PDET,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P,FEX_P_PDET
83521,2,,1,1,1,1,1,2,1,1,1,3,1,1,677.47231397,677.47231397
83522,2,,1,1,1,1,1,2,1,1,1,3,1,1,638.18562379,638.18562379
83523,2,,1,1,1,2,1,2,1,1,1,3,1,1,783.67876901,783.67876901
83524,2,,1,1,1,1,1,2,1,1,1,3,1,1,568.20525434,568.20525434
83525,2,,1,1,1,2,1,2,1,1,1,3,1,1,546.00241002,546.00241002
83526,2,,1,1,1,2,1,2,1,1,1,3,1,1,599.78148658,599.78148658
83527,2,,1,1,1,1,1,2,1,1,1,3,1,1,712.79227133,712.79227133
83528,2,,1,1,1,2,1,2,1,1,1,3,1,1,786.12915899,786.12915899
83529,2,,1,1,1,1,1,2,1,1,1,3,1,1,487.25102886,487.25102886
83530,2,,1,1,1,2,1,2,1,1,1,3,1,1,563.94811006,563.94811006
83531,2,,1,1,1,2,1,2,1,1,1,3,1,1,724.20953495,724.20953495
83532,2,,1,1,1,1,1,2,1,1,1,3,1,1,426.34465025,426.34465025
83533,2,,1,1,1,1,1,1,1,1,1,3,1,1,936.5973993,936.5973993
83534,2,,1,1,1,1,1,1,1,1,1,3,1,1,740.25593451,740.25593451
83535,2,,1,1,1,1,1,1,1,1,1,3,1,1,715.85044041,715.85044041
83536,2,,1,1,1,1,1,1,1,1,1,3,1,1,538.64755103,538.64755103
83537,2,,1,1,1,1,1,1,1,1,1,3,1,1,609.06378607,609.06378607
83538,2,,1,1,1,2,1,2,1,1,1,3,1,1,718.53411877,718.53411877
83539,2,,1,1,1,2,1,2,1,1,1,3,1,1,899.37619283,899.37619283
83540,2,,1,1,1,1,1,2,1,1,1,3,1,1,420.8879029,420.8879029
83541,2,,1,1,1,3,1,2,1,1,1,3,1,1,973.45316485,973.45316485
83542,2,,1,1,1,1,1,0,2,2,1,3,1,1,708.1886285,708.1886285
83543,2,,1,1,1,1,1,0,2,2,1,3,1,1,785.12607209,785.12607209
